item_id,item_name,category,confidence,offense_score,defense_score,utility_score,total_uses,carry_uses,tank_uses,support_uses,source
TFT17_AnimaSquadItem_Tier3_IceblastArmor,Congelamento Profundo,Defensivo,100.0,25.0,100.0,25.0,4,0,4,0,communitydragon_metadata
TFTEventER_Item_SwordOfTheDivine,Espada do Divino,Ofensivo,100.0,100.0,0.0,0.0,4,2,2,0,communitydragon_metadata
TFT16_Item_MagusEmblemItem,Emblema de Disruptor,Híbrido,55.0,25.0,25.0,0.0,4,3,1,0,communitydragon_metadata
TFTEventER_Item_WillOfTheAncients,Vontade dos Anciões,Híbrido,55.0,50.0,25.0,50.0,4,3,1,0,communitydragon_metadata
TFTEventER_Item_PhilosophersStone,Pedra Filosofal,Utilidade,100.0,0.0,0.0,50.0,3,1,0,2,communitydragon_metadata
TFTEventER_Item_ChaliceOfHarmony,Cálice da Harmonia,Utilidade,100.0,0.0,50.0,100.0,3,0,2,1,communitydragon_metadata
TFTEvent5YR_Item_LavenderCrown,Coroa de Lavanda,Defensivo,80.0,25.0,50.0,0.0,3,0,3,0,communitydragon_metadata
TFT17_AnimaSquadItem_Tier3_CyclonicSlicers,Ciclone Incessante,Defensivo,80.0,25.0,50.0,0.0,3,0,3,0,communitydragon_metadata
TFTEventER_Item_SpiritOfTheSpectralWraith,Espírito da Aparição Espectral,Utilidade,80.0,50.0,0.0,75.0,3,2,0,1,communitydragon_metadata
TFT16_Item_SlayerEmblemItem,Emblema de Dizimador,Defensivo,80.0,0.0,75.0,50.0,3,0,3,0,communitydragon_metadata
TFT15_Item_CrystalRoseEmblemItem,Emblema de Gambito de Cristal,Defensivo,80.0,0.0,25.0,0.0,3,0,3,0,communitydragon_metadata
TFT15_Item_RingKingsEmblemItem,Emblema de Luchador,Ofensivo,80.0,25.0,0.0,0.0,3,2,1,0,communitydragon_metadata
TFTEventER_Item_SpiritOfTheElderLizard,Espírito do Lagarto Ancião,Híbrido,55.0,25.0,0.0,25.0,3,3,0,0,communitydragon_metadata
TFT16_Item_VoidEmblemItem,Emblema do Vazio,Desconhecido,0.0,0.0,0.0,0.0,3,1,2,0,communitydragon_metadata
TFT17_AnimaSquadItem_Tier4_Omniweapon,Oniarma,Utilidade,80.0,25.0,75.0,100.0,2,0,1,1,communitydragon_metadata
TFT17_AnimaSquadItem_Tier3_Annihilator,Animapocalipse,Utilidade,80.0,25.0,0.0,50.0,2,2,0,0,communitydragon_metadata
TFT17_AnimaSquadItem_Tier3_RadiantField,Eclipse Solar,Defensivo,80.0,25.0,50.0,0.0,2,0,2,0,communitydragon_metadata
TFT17_AnimaSquadItem_Tier3_SearingShortbow,Incendisparo Evoluído,Utilidade,80.0,50.0,25.0,75.0,2,2,0,0,communitydragon_metadata
TFT16_Item_LongshotEmblemItem,Emblema de Tiro Longo,Defensivo,80.0,0.0,25.0,0.0,2,1,1,0,communitydragon_metadata
TFT16_Item_Bilgewater_BlackmarketExplosives,Explosivos do Mercado Clandestino,Ofensivo,80.0,25.0,0.0,0.0,2,2,0,0,communitydragon_metadata
TFTEventER_Item_BlackCleaver,Cutelo Negro,Defensivo,80.0,50.0,75.0,0.0,2,1,1,0,communitydragon_metadata
TFT15_Item_EdgelordEmblemItem,Emblema de Edgelord,Defensivo,80.0,25.0,50.0,0.0,2,1,1,0,communitydragon_metadata
TFTEvent5YR_Item_GlacialMallet,Malho Glacial,Híbrido,55.0,25.0,25.0,25.0,2,2,0,0,communitydragon_metadata
TFTEventER_Item_MikaelsCrucible,Cadinho de Mikael,Híbrido,55.0,50.0,25.0,50.0,2,1,0,1,communitydragon_metadata
TFTEvent5YR_Item_ShimmerscaleDravensAxe,Machado do Draven,Ofensivo,100.0,75.0,0.0,0.0,1,1,0,0,communitydragon_metadata
TFT15_Item_DestroyerEmblemItem,Emblema de Carrasco,Ofensivo,100.0,75.0,0.0,0.0,1,1,0,0,communitydragon_metadata
TFT15_Item_ShotcallerEmblemItem,Emblema de Estratégico,Defensivo,100.0,25.0,75.0,25.0,1,0,1,0,communitydragon_metadata
TFTEvent5YR_Item_Nitro_ChromeCounter,Cromo,Defensivo,80.0,0.0,25.0,0.0,1,0,1,0,communitydragon_metadata
TFT17_AnimaSquadItem_Tier3_EchoingBatblades,Lâminas Cromáticas da Vayne,Ofensivo,80.0,25.0,0.0,0.0,1,1,0,0,communitydragon_metadata
TFT15_Item_StarGuardianEmblemItem,Emblema de Guardiã Estelar,Utilidade,80.0,0.0,0.0,25.0,1,0,1,0,communitydragon_metadata
TFT15_Item_ProtectorEmblemItem,Emblema de Protetor,Defensivo,80.0,0.0,50.0,25.0,1,0,1,0,communitydragon_metadata
TFT15_Item_EmpyreanEmblemItem,Emblema de Espectro,Defensivo,80.0,0.0,25.0,0.0,1,0,1,0,communitydragon_metadata
TFTEvent5YR_Item_SevikasJinxedArm,Braço Jinxificado da Sevika,Híbrido,55.0,75.0,75.0,25.0,1,1,0,0,communitydragon_metadata
TFTEvent5YR_Item_ShimmerscaleGoldmancersStaff,Cajado do Ouromante,Híbrido,55.0,50.0,0.0,50.0,1,1,0,0,communitydragon_metadata
TFT16_Item_Bilgewater_BilgeratCutlass,Sabre do Degolador,Híbrido,55.0,25.0,0.0,25.0,1,1,0,0,communitydragon_metadata
